Brain rank,Model,Brain-Score,V4,IT,Behaviour,Imagenet,NetDissect Units,NetDissect Ratio,NetDissect Concepts,IPC
1,"densenet-169
Huang et al., 2016",54.9,66.3,60.6,37.8,75.9,0.5265241489,0.6480297217,1,4.105
2,"cornet_s
Kubilius et al., 2018",54.4,65,60,38.2,74.7,0.2296120348,0.9184481394,0.5061728395,3.537
3,"resnet-101_v2
He et al., 2015",54.2,65.3,58.5,38.9,77.4,1,1,0.962962963,8.096
4,"densenet-201
Huang et al., 2016",54.1,65.5,60.1,36.8,77.2,0.5993665875,0.63932436,0.9444444444,4.948
5,"densenet-121
Huang et al., 2016",54.1,65.7,59.7,36.9,74.5,0.3357086302,0.6714172605,0.7592592593,3.447
6,"resnet-152_v2
He et al., 2015",54.1,65.8,58.9,37.7,77.8,0.9817893903,0.9817893903,0.9938271605,7.702
7,"resnet-50_v2
He et al., 2015",54,65.3,58.9,37.7,75.6,0.9422011085,0.9422011085,0.9074074074,8.095
8,"xception
Chollet et al., 2016",53.3,67.1,56.5,36.1,79,0.8717339667,0.8717339668,0.8518518519,7.978
9,"inception_v2
Szegedy et al., 2015",53.2,64.6,59.3,35.7,73.9,,,,
10,"inception_v1
Szegedy et al., 2014",53.2,64.9,58.3,36.2,69.8,,,,
11,"resnet-18
He et al., 2015",53.1,64.5,58.3,36.4,69.8,0.2201108472,0.8804433888,0.4691358025,3.658
12,"nasnet_mobile
Zoph et al., 2017",53,65,59.8,34.2,74,0.3095803642,0.6003982821,0.4691358025,5.145
13,"pnasnet_large
Liu et al., 2017",52.8,64.4,59,35.1,82.9,,,,
14,"inception_resnet_v2
Szegedy et al., 2016",52.8,63.9,59.3,35.2,80.4,,,,
15,"nasnet_large
Zoph et al., 2017",52.7,65,59.1,33.9,82.7,,,,
16,"mobilenet_v2_0.75_224
Howard et al., 2017",52.7,61.3,59,37.7,69.8,,,,
17,"vgg-19
Simonyan et al., 2014",52.5,67.2,56.6,33.8,71.1,0.2319873317,0.927949327,0.3950617284,4.578
18,"mobilenet_v2_1.4_224
Howard et al., 2017",52.5,62.6,60,34.8,75,,,,
19,"inception_v4
Szegedy et al., 2016",52.4,62.8,57.5,37.1,80.2,,,,
20,"mobilenet_v1_1.0_224
Howard et al., 2017",52.4,62.3,60.1,34.7,70.9,,,,
21,"mobilenet_v2_1.3_224
Howard et al., 2017",52.3,61.9,59.5,35.6,74.4,,,,
22,"inception_v3
Szegedy et al., 2015",52.3,64.6,58.7,33.5,78,,,,
23,"mobilenet_v2_0.75_192
Howard et al., 2017",52.2,61.3,59.4,35.9,68.7,,,,
24,"resnet-34
He et al., 2015",52.2,62.9,55.9,37.8,73.3,0.2406967538,0.962787015,0.6049382716,3.102
25,"mobilenet_v2_1.0_192
Howard et al., 2017",52.2,60.1,59.5,36.9,70.7,,,,
26,"vgg-16
Simonyan et al., 2014",52.1,66.9,57.2,32.1,71.5,0.2193190816,0.8772763262,0.4567901235,3.743
27,"mobilenet_v1_0.75_224
Howard et al., 2017",51.9,61.8,59.2,34.6,68.4,,,,
28,"mobilenet_v1_0.75_192
Howard et al., 2017",51.7,62,59.2,34,67.2,,,,
29,"mobilenet_v2_1.0_224
Howard et al., 2017",51.7,61.2,59.1,34.8,71.8,,,,
30,"mobilenet_v1_1.0_160
Howard et al., 2017",51.7,63.2,59.2,32.7,68,,,,
31,"mobilenet_v1_1.0_192
Howard et al., 2017",51.6,62.9,59.4,32.5,70,,,,
32,"mobilenet_v2_0.5_224
Howard et al., 2017",51.4,62.2,58.8,33.2,65.4,,,,
33,"mobilenet_v2_1.0_160
Howard et al., 2017",51.3,60.2,59.9,33.7,68.8,,,,
34,"mobilenet_v2_0.5_192
Howard et al., 2017",51,61.6,58.6,32.9,63.9,,,,
35,"mobilenet_v2_0.75_160
Howard et al., 2017",50.9,60.5,59.4,32.8,66.4,,,,
36,"mobilenet_v2_0.35_224
Howard et al., 2017",50.7,62.7,58,31.4,60.3,,,,
37,"mobilenet_v2_0.5_160
Howard et al., 2017",50.6,62.5,58.2,31,61,,,,
38,"mobilenet_v1_0.5_224
Howard et al., 2017",50.5,60.4,58.5,32.6,63.3,,,,
39,"mobilenet_v1_0.5_192
Howard et al., 2017",50.3,61.4,57.8,31.8,61.7,,,,
40,"mobilenet_v1_1.0_128
Howard et al., 2017",50.2,62.3,57.5,30.8,65.2,,,,
41,"mobilenet_v1_0.75_160
Howard et al., 2017",50.2,62.3,58.1,30.1,65.3,,,,
42,"mobilenet_v2_1.0_128
Howard et al., 2017",50.1,60.1,59.1,31,65.3,,,,
43,"mobilenet_v2_0.35_160
Howard et al., 2017",50,61.9,57.7,30.3,55.7,,,,
44,"mobilenet_v2_0.35_192
Howard et al., 2017",49.9,62.9,57.9,29,58.2,,,,
45,"mobilenet_v1_0.75_128
Howard et al., 2017",49.8,63.6,57.3,28.4,62.1,,,,
46,"mobilenet_v2_1.0_96
Howard et al., 2017",49.6,61.3,57.8,29.7,60.3,,,,
47,"mobilenet_v2_0.75_128
Howard et al., 2017",49.6,60.8,57.8,30.2,63.2,,,,
48,"mobilenet_v1_0.5_160
Howard et al., 2017",49.5,62.1,57.6,28.9,59.1,,,,
49,"mobilenet_v2_0.75_96
Howard et al., 2017",49.4,62,57.5,28.6,58.8,,,,
50,"mobilenet_v2_0.5_128
Howard et al., 2017",48.9,60.7,57.4,28.7,57.7,,,,
51,"alexnet
Krizhevsky et al., 2012",48.8,63.1,58.9,24.5,57.7,0.0815518606,0.6524148852,0.2530864198,2.512
52,"mobilenet_v1_0.5_128
Howard et al., 2017",47.9,62.3,55.8,25.6,56.3,,,,
53,"mobilenet_v1_0.25_224
Howard et al., 2017",47.8,61.9,57.4,24,49.8,,,,
54,"mobilenet_v2_0.5_96
Howard et al., 2017",47.6,61.1,55.5,26.2,51.2,,,,
55,"mobilenet_v2_0.35_128
Howard et al., 2017",47.2,61.3,55,25.3,50.8,,,,
56,"squeezenet1_1
Iandola et al., 2016",46.9,65.2,55.3,20.1,57.5,0.1045130641,0.4180522565,0.2839506173,2.87
57,"mobilenet_v2_0.35_96
Howard et al., 2017",46.5,61,54,24.4,45.5,,,,
58,"mobilenet_v1_0.25_192
Howard et al., 2017",46.4,60,55.1,24.2,47.7,,,,
59,"mobilenet_v1_0.25_160
Howard et al., 2017",45.9,60.5,54.4,22.8,45.5,,,,
60,"mobilenet_v1_0.25_128
Howard et al., 2017",45.5,61.9,52.7,22,41.5,,,,
61,"squeezenet1_0
Iandola et al., 2016",45.4,64.1,54.2,18,57.5,0.0997624703,0.3990498812,0.3086419753,2.52
62,"cornet_z
Kubilius et al., 2018",,64,56.3,27,48,0.135391924,0.541567696,0.2592592593,4.071
63,"cornet_r
Kubilius et al., 2018",,64.7,58,24.5,55,0.1155977831,0.4623911322,0.3086419753,2.92
